mutate,swap,constrained
0.1322326956968826,0.047199723438430104,0.10765526005195389
0.06559008213084705,0.0413270384468242,0.05184580865756128
0.14804744480781865,0.09073567120389421,0.13541469992315264
0.22520830525419122,0.09360186247760183,0.08647120037739212
0.12879886339752283,0.04201225594763118,0.09503886730025929
0.10081010508807933,0.025636242650281388,0.15022597821270012
0.09781941738360912,0.09460191384451774,0.14290457340997986
0.15033175557601006,0.06494302125475834,0.1432355762943076
0.12717036426576497,0.09541773987912637,0.12778933224594302
0.28910244875720886,0.12243836602464064,0.1051805576777651
